id,date,region,product,channel,score,revenue,satisfaction,comments
93,none,Calif.,Widget A,Phone,,4655.84,Very Satisfied,Comment for order 93
113,"Apr 25, 2024", FL ,Service Y,In-Store,N/A,"$2,511.98",Neutral,
128,"Jun 20, 2024",New York,Service X,Social Media,8,$3751.29,Very Dissatisfied,Comment for order 128
167,"Dec 27, 2023",TX,Service Y,Online,8,"$4,317.89",Satisfied,
45,28-11-2023,CA,Widget B,Phone,10,,Dissatisfied,
97,28-07-2023,ca,Service X,Online,6,$130.40,Neutral,
131,01-12-2024,TX,  Basic Plan ,Online,4,274.18,Very Satisfied,Comment for order 131
99,09/16/24,Calif.,Service X,Phone,5,$3915.17,Dissatisfied,Comment for order 99
47,2024-05-19,illinois,Service X,In-Store,,,Very Dissatisfied,
73,07/20/24, FL ,Basic Plan,Social Media,two,$616.35,Satisfied,Comment for order 73
69,"Feb 22, 2024",IL,Bundle Pro,Social Media,one,"$1,255.67",Satisfied,Comment for order 69
95,2024-04-10,Calif.,Widget A,Referral,7,"$3,132.91",Very Satisfied,Comment for order 95
15,14-03-2023,Florida,Service Y,Referral,,$864.95,Very Dissatisfied,Comment for order 15
163,"Aug 20, 2024",TX,Widget B,In-Store,3,"$1,230.93",Dissatisfied,Comment for order 163
80,2023-04-13,Calif.,Service X,Online,,3848.38,Dissatisfied,
53,2024-11-15,new york,  Service Y ,Social Media,9,,Satisfied,Comment for order 53
30,"Jul 8, 2024",CA,Bundle Pro,Social Media,7,$4030.34,Very Satisfied,Comment for order 30
90,2023-09-25,Texas,Bundle Pro,In-Store,10,$853.12,Very Satisfied,Comment for order 90
66,10/18/23,IL,Service X,Online,2,$2348.12,Very Satisfied,Comment for order 66
86,"Aug 26, 2023",Tex.,Service X,Online,9,$356.27,Satisfied,
87,"Sep 17, 2024",texas,  Bundle Pro , Phone,5,$3883.60,Very Satisfied,Comment for order 87
44,12/19/24,Calif.,Basic Plan, Phone,5,$938.24,Very Satisfied,Comment for order 44
