units,revenue,region,orders
56,693.96,West,9
37,496.62,East,13
41,520.81,North,11
53,,West,13
35,481.42,East,19
46,610.33,North,3
50,602.08,West,11
14,201.53,East,9
4,88.79,North,7
18,267.83,West,5
17,214.25,East,1
52,678.06,North,8
54,690.54,West,16
1,32.28,East,2
30,441.52,North,8
49,632.31,West,19
8,139.19,East,19
48,662.11,North,5
8,125.41,West,1
28,387.21,East,13
49,655.26,North,1
18,266.59,West,6
21,271.87,East,10
17,254.4,North,17
43,611.47,West,2
16,201.32,East,13
59,798.98,North,11
27,380.48,West,3
29,386.46,East,17
30,465.01,North,17
35,496.56,West,10
33,422.52,East,18
31,429.36,North,12
59,791.92,West,18
48,635.28,East,19
47,644.57,North,11
42,563.34,West,6
37,519.18,East,3
21,338.46,North,11
59,760.61,West,4
